Source_Name,sigma²_NXS(month),err_sigma²_NXS(month),a*sigma²_NXS(month),sigma²_NXS(3 day),err_sigma²_NXS(3 day)
J0245.9-4650,0.6527432875461074,0.027534764852075056,2.391047473402653,0.3066234549512914,0.02124139834297977
J0246.6-3348,,,,,
J0248.0+2232,,,,,
J0248.6+5131,,,,,
J0249.7+4500,,,,,
J0250.2-8224,,,,,
J0250.3-3422,,,,,
J0250.6+1712,,,,,
J0250.6+8435,,,,,
J0250.7+5630,,,,,
J0251.5-5958,,,,,
J0252.8-2219,0.8379160230536173,0.024473218583663792,3.06934905049396,0.30485350727227273,0.016499991151993815
J0252.9+3834,,,,,
J0253.2-5441,0.8289468043090836,0.057991958378545753,3.0364941315285954,,
J0253.2-0124,,,,,
J0253.5+3216,,,,,
J0253.9+5103,,,,,
J0254.5-7511,,,,,
J0255.8+0534,,,,,
J0256.3+0334,,,,,
J0257.0+3358,,,,,
J0257.9-1215,,,,,
J0258.1+2030,,,,,
J0259.3+5453,,,,,
J0259.4+0308,,,,,
J0259.4+0746,0.40469562636307577,0.037646395863716944,1.4824303418733897,,
J0259.5+1924,,,,,
J0259.5-1705,,,,,
J0301.0-1652,,,,,
J0301.2+2546,,,,,
J0301.4-3124,,,,,
J0301.6-7155,1.3909248495306283,0.04421316612337711,5.095061735013635,,
J0301.9-2731,,,,,
J0303.2+3149,,,,,
J0303.3-7913,,,,,
J0303.3+0555,,,,,
J0303.4-2407,0.7627655880681131,0.029407793056736516,2.794067387510168,0.5693802986236313,0.030804172134518866
J0303.4-5232,,,,,
J0303.6+4716,0.09836504033549183,0.01689932700290228,0.36031849833264573,-0.02819306595191612,0.017909312016420115
J0303.6-6211,0.1999954630639306,0.029856406997453653,0.7325983365508398,,
J0304.4-2833,,,,,
J0304.5+3349,,,,,
J0304.5+6821,0.24539361049379615,0.053126965431341586,0.8988951453888375,,
J0304.5-0054,,,,,
J0304.9-0606,,,,,
J0305.1-1608,,,,,
J0307.4+4915,,,,,
J0307.8-0419,,,,,
J0308.1-2852,,,,,
J0308.4+0407,,,,,
J0309.0+1029,,,,,
J0309.4-4000,,,,,
J0309.7-0745,,,,,
J0309.9-6058,0.6251238626168886,0.022678309670581664,2.2898754545495623,0.22805310208584528,0.015750476198496937
J0310.6-5017,,,,,
J0310.8-1041,,,,,
J0310.9-3458,,,,,
J0310.9+3815,,,,,
J0311.2+6856,,,,,
J0311.5-4402,,,,,
J0311.6+4134,,,,,
J0312.4-3221,,,,,
J0312.5-2221,,,,,
J0312.8+0134,,,,,
J0312.9+3614,,,,,
J0312.9+4119,,,,,
J0313.0+0229,,,,,
J0314.3+0620,,,,,
J0314.3-5103,,,,,
J0314.6-6549,,,,,
J0315.4-2643,,,,,
J0315.5+4231,,,,,
J0315.9-1033,,,,,
J0316.0-5626,,,,,
J0316.2-6437,,,,,
J0316.2+0905,,,,,
J0316.2-2608,,,,,
J0316.6-2216,,,,,
J0316.8+4120,,,,,
J0316.9-0625,,,,,
J0317.7-2804,,,,,
J0317.8-4414,,,,,
J0318.7+2135,,,,,
J0319.4-7045,,,,,
J0319.8+4130,0.3088337757794611,0.006699636316760933,1.1312812147864812,0.31552548993658297,0.005651673323881722
J0319.8+1845,,,,,
J0319.9-3821,,,,,
J0320.6+1125,,,,,
J0321.3+0425,,,,,
J0321.3-1612,,,,,
J0321.7-7500,,,,,
J0322.0+2335,,,,,
J0322.4+6606,,,,,
J0322.6-3712e,,,,,
J0322.9+0940,,,,,
J0323.7-0111,,,,,
J0324.3-1313,,,,,
J0324.8+3412,0.30040872707771443,0.029135995418418426,1.1004196313800296,,
J0324.8-2043,,,,,
J0325.0-2416,,,,,
J0325.2+4705,,,,,
J0325.3+3332,,,,,
J0325.5-5635,,,,,
J0325.6-1646,,,,,
J0325.7+2225,0.3049713543282362,0.027675894436265537,1.1171328761848145,,
